mes,convocatorias
2020-03-01,5726
2020-04-01,1478
2020-05-01,2664
2020-06-01,4519
2020-07-01,5525
2020-08-01,1479
2020-09-01,2641
2020-10-01,3644
2020-11-01,6403
2020-12-01,6772
2021-01-01,1698
2021-02-01,3224
2021-03-01,4639
2021-04-01,2925
2021-05-01,2455
2021-06-01,2961
2021-07-01,3553
2021-08-01,3328
2021-09-01,4020
2021-10-01,4807
2021-11-01,6374
2021-12-01,5483
2022-01-01,3685
2022-02-01,4672
2022-03-01,7354
2022-04-01,6796
2022-05-01,6990
2022-06-01,7657
2022-07-01,5912
